,proportion,type,ROI,net,layer,sum
329,0.0105831897099324,semantic,EVC,alexnettrained,ReLu2,0.0007410037292067805
330,26.492562883008127,perceptual,EVC,alexnettrained,ReLu7,0.10115039787016473
331,5.650916984673297,semantic,EVC,alexnettrained,ReLu7,0.021575583451670703
332,-0.11828650867001021,perceptual,EVC,alexnettrained,ReLu7,0.011024146414764784
333,-0.2336979760818147,semantic,EVC,alexnettrained,ReLu7,0.021780342780658227
334,4.759057033430831,perceptual,EVC,alexnettrained,ReLu7,0.04395727781315656
335,1.2487106527489271,semantic,EVC,alexnettrained,ReLu7,0.011533780890951459
336,1.2514975490511362,perceptual,EVC,alexnettrained,ReLu7,0.09239871547733383
337,-0.0011938007505675106,semantic,EVC,alexnettrained,ReLu7,-8.813893081288638e-05
338,0.45792133896575127,perceptual,EVC,alexnettrained,ReLu7,0.007609433721753652
339,0.6813691230601902,semantic,EVC,alexnettrained,ReLu7,0.011322541102116465
340,0.721939551978774,perceptual,EVC,alexnettrained,ReLu7,0.04135237410500028
341,0.08680425420112575,semantic,EVC,alexnettrained,ReLu7,0.004972108791922834
342,1.640963557221719,perceptual,EVC,alexnettrained,ReLu7,0.18528427833525912
343,0.11772576136596112,semantic,EVC,alexnettrained,ReLu7,0.01329263690236468
344,-1.8566198536907434,perceptual,EVC,alexnettrained,ReLu7,0.03357597662978863
345,-0.6328296509741749,semantic,EVC,alexnettrained,ReLu7,0.011444385628812436
346,1.6274088428573217,perceptual,EVC,alexnettrained,ReLu7,0.17486453943177754
347,0.1447112713699859,semantic,EVC,alexnettrained,ReLu7,0.015549178026014996
348,0.4406387752575806,perceptual,EVC,alexnettrained,ReLu7,0.09391473540010473
349,-0.08010187454429962,semantic,EVC,alexnettrained,ReLu7,-0.017072365790965112
350,3.104275897015109,perceptual,EVC,alexnettrained,ReLu7,0.07551377781122878
351,0.1114023346362279,semantic,EVC,alexnettrained,ReLu7,0.0027099431314920024
352,0.8097882415356974,perceptual,EVC,alexnettrained,ReLu7,0.0500987719991386
353,0.03079527786840074,semantic,EVC,alexnettrained,ReLu7,0.0019051963531272354
354,-1.6421069744061292,perceptual,EVC,alexnettrained,ReLu7,0.07322730197505675
355,-0.2648358038137731,semantic,EVC,alexnettrained,ReLu7,0.011809956161164006
356,0.5463940750805742,perceptual,EVC,alexnettrained,ReLu7,0.15939240038930017
357,-0.05997974031601713,semantic,EVC,alexnettrained,ReLu7,-0.01749710551361128
358,0.8272720189892072,perceptual,EVC,alexnettrained,ReLu7,0.15689910164007353
359,-0.02319545769138161,semantic,EVC,alexnettrained,ReLu7,-0.004399213789866606
